Gene Symbol,Name,Tier,Somatic,Germline,Tumour Types(Somatic),Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types
CCNC,cyclin C,2,yes,No,T-ALL,L,NA,TSG,D
CCND1,cyclin D1,1,yes,No,"CLL, B-ALL, breast","L, E",Dom,"oncogene, fusion",Translocation
CCND2,cyclin D2,1,yes,No,"NHL,CLL",L,Dom,"oncogene, fusion",Translocation
CCND3,cyclin D3,1,yes,No,MM,L,Dom,"oncogene, fusion",Translocation
CCNE1,cyclin E1,1,yes,No,serous ovarian,E,Dom,oncogene,A
CCR4,C-C motif chemokine receptor 4,2,yes,No,adult T-cell leukaemia/lymphoma,L,NA,oncogene,N
CCR7,C-C motif chemokine receptor 7,2,yes,No,adult T-cell leukaemia/lymphoma,L,NA,oncogene,N
CD209,CD209 molecule,2,yes,No,prostate carcinoma,E,NA,,Mis
CD274,CD274 molecule,1,yes,No,"PMBL, Hodgkin lymphoma",L,Dom,"TSG, fusion",Translocation
CD28,CD28 molecule,2,yes,No,T-cell lymphoma,L,NA,oncogene,Mis
CD74,"CD74 molecule, major histocompatibility complex, class II invariant chain",1,yes,No,NSCLC,E,Dom,"oncogene, fusion",Translocation
CD79A,"CD79a molecule, immunoglobulin-associated alpha",1,yes,No,"DLBCL, WM",L,Dom,oncogene,S
CD79B,"CD79b molecule, immunoglobulin-associated beta",1,yes,No,"DLBCL, WM",L,Dom,oncogene,"Mis, S"
CDC73,cell division cycle 73,1,yes,yes,parathyroid adenoma,"E, M",Rec,TSG,"Mis, N, F"
CDH1,"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)",1,yes,yes,"lobular breast, gastric",E,Rec,TSG,"Mis, N, F, S"
CDH10,cadherin 10,2,yes,yes,melanoma,E,NA,TSG,"Mis, F, N"
CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1,yes,No,aneurysmal bone cyst,M,Dom,"TSG, fusion",Translocation
CDH17,cadherin 17,2,yes,No,melanoma,E,NA,oncogene,Mis
CDK12,cyclin-dependent kinase 12,1,yes,No,serous ovarian,E,Rec,TSG,"Mis, N, F"
CDK4,cyclin-dependent kinase 4,1,No,yes,,E,Dom,oncogene,Mis
CDK6,cyclin-dependent kinase 6,1,yes,No,ALL,L,Dom,"oncogene, fusion",Translocation
CDKN1A,cyclin dependent kinase inhibitor 1A,2,yes,No,bladder cancer,E,NA,"oncogene, TSG","F, N"
CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1,yes,yes,"breast, small intestine neuroendocrine tumours",E,Rec,TSG,F
CDKN2A,cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene,1,yes,yes,"melanoma, multiple other tumour types","L, E, M, O",Rec,TSG,"D, Mis, N, F, S"
CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",1,yes,No,"glioma, MM","O, L",Rec,TSG,D
CDX2,caudal type homeo box transcription factor 2,1,yes,No,AML,L,Dom,"TSG, fusion",Translocation
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1,yes,No,"AML, MDS",L,Dom,TSG,"Mis, N, F"
CEP89,centrosomal protein 89kDa,2,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,1,yes,No,salivary adenoma,E,Dom,fusion,Translocation
CHD2,chromodomain helicase DNA binding protein 2,2,yes,No,"melanoma, large intestine, CLL, monoclonal B lymphocytosis","E, L",NA,TSG,"Mis, F, N"
CHD4,chromodomain helicase DNA binding protein 4,1,yes,No,uterine serous carcinoma,E,Dom,oncogene,"Mis, F, N"
CHEK2,CHK2 checkpoint homolog (S. pombe),1,No,yes,,E,Rec,TSG,F
CHIC2,cysteine-rich hydrophobic domain 2,2,yes,No,AML,L,Dom,fusion,Translocation
CHST11,carbohydrate sulfotransferase 11,2,yes,No,B-CLL,L,NA,"oncogene, fusion",Translocation
CIC,capicua homolog,1,yes,No,"oligodendroglioma, soft tissue sarcoma","O, M",Rec,"oncogene, TSG, fusion","Mis, F, S,Translocation"
CIITA,"class II, major histocompatibility complex, transactivator",1,yes,No,"PMBL, Hodgkin lymphoma",L,Dom,"TSG, fusion",Translocation
CLIP1,CAP-GLY domain containing linker protein 1,1,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
CLP1,cleavage and polyadenylation factor I subunit 1,2,yes,No,AML,L,Dom,fusion,Translocation
CLTC,"clathrin, heavy polypeptide (Hc)",1,yes,No,"ALCL, renal",L,Dom,"TSG, fusion",Translocation
CLTCL1,"clathrin, heavy polypeptide-like 1",1,yes,No,ALCL,L,Dom,"TSG, fusion",Translocation
CNBD1,cyclic nucleotide binding domain containing 1,2,yes,No,"gastric cancer, colon cancer",E,NA,,Mis
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",1,yes,No,aneurysmal bone cyst,M,Dom,"TSG, fusion",Translocation
CNOT3,CCR4-NOT transcription complex subunit 3,1,yes,No,T-ALL,L,Rec,TSG,"Mis, N, F"
CNTNAP2,contactin associated protein like 2,2,yes,No,"glioma, melanoma","E, O",NA,TSG,Mis
CNTRL,centriolin,1,yes,No,"MPN, NHL",L,Dom,fusion,Translocation
COL1A1,"collagen, type I, alpha 1",1,yes,No,"DFSP, aneurysmal bone cyst",M,Dom,fusion,Translocation
COL2A1,"collagen, type II, alpha 1",1,yes,No,"chondrosarcoma, enchondroma","L, E, M",Rec,fusion,"F, Mis, N, Translocation"
COL3A1,collagen type III alpha 1 chain,2,yes,No,lipoblastoma,E,NA,fusion,Translocation
COX6C,cytochrome c oxidase subunit VIc,2,yes,No,uterine leiomyoma,M,Dom,fusion,Translocation
CPEB3,cytoplasmic polyadenylation element binding protein 3,2,yes,No,lung cancer,E,NA,TSG,D
CREB1,cAMP responsive element binding protein 1,1,yes,No,"clear cell sarcoma, angiomatoid fibrous histiocytoma",M,Dom,"oncogene, fusion",Translocation
CREB3L1,cAMP responsive element binding protein 3-like 1,1,yes,No,myxofibrosarcoma,M,Dom,"TSG, fusion",Translocation
CREB3L2,cAMP responsive element binding protein 3-like 2,1,yes,No,fibromyxoid sarcoma,M,Dom,"oncogene, fusion",Translocation
CREBBP,CREB binding protein (CBP),1,yes,No,"ALL, AML, DLBCL, B-NHL",L,Dom/Rec,"oncogene, TSG, fusion","Translocation, N, F, Mis, O"
CRLF2,cytokine receptor-like factor 2,1,yes,No,"B-ALL, Downs associated ALL",L,Dom,"oncogene, fusion","Mis, Translocation"
CRNKL1,crooked neck pre-mRNA splicing factor 1,2,yes,No,base cell carcinoma,E,NA,,Mis
CRTC1,CREB regulated transcription coactivator 1,1,yes,No,salivary gland mucoepidermoid,E,Dom,"oncogene, fusion",Translocation
CRTC3,CREB regulated transcription coactivator 3,1,yes,No,salivary gland mucoepidermoid,E,Dom,fusion,Translocation
CSF1R,colony stimulating factor 1 receptor,2,yes,No,"MDS, CML, AML, hemangioblastoma, CCRCC","L, M, E",NA,oncogene,"Mis, N"
CSF3R,colony stimulating factor 3 receptor (granulocyte),1,yes,No,"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS",L,Dom,oncogene,"Mis, N"
CSMD3,CUB and Sushi multiple domains 3,2,yes,No,"ovarian cancer, oral SCC, lung cancer",E,NA,TSG,"Mis, N"
CTCF,CCCTC-binding factor,1,yes,No,"endometrial, breast, head and neck cancer",E,Dom,TSG,"Mis, N"
CTNNA2,catenin alpha 2,2,yes,No,gastric cancer,E,NA,oncogene,"Mis, S"
CTNNB1,"catenin (cadherin-associated protein), beta 1",1,yes,No,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types","E, M, O",Dom,"oncogene, fusion","Mis, O, Translocation"
CTNND1,catenin delta 1,2,yes,No,large intestine carcinoma,E,NA,,N
CTNND2,catenin delta 2,2,yes,No,"prostae adenocarcinoma, GIST",E,NA,oncogene,Mis
CUL3,cullin 3,2,yes,No,lung cancer,E,NA,TSG,N
CUX1,cut-like homeobox 1,1,yes,No,"endometrial, melanoma, colorectal, AML, MDS, other tumour types","E,L,M,O",Dom,"oncogene, TSG","N,F,S,Mis,O,Translocation"
CXCR4,C-X-C motif chemokine receptor 4,1,yes,yes,WM,L,Dom,oncogene,"Mis, N, F"
CYLD,familial cylindromatosis gene,1,yes,yes,cylindroma,E,Rec,TSG,"Mis, N, F, S"
CYP2C8,cytochrome P450 family 2 subfamily C member 8,2,yes,No,melanoma,E,NA,,Mis
CYSLTR2,cysteinyl leukotriene receptor 2,2,yes,No,uveal melanoma,E,NA,oncogene,Mis
DAXX,death-domain associated protein,1,yes,No,"pancreatic neuroendocrine tumour, paediatric glioblastoma",E,Rec,"oncogene, TSG","Mis, F, N"
DCAF12L2,DDB1 and CUL4 associated factor 12 like 2,2,yes,No,CRC,E,NA,,Mis
DCC,DCC netrin 1 receptor,2,yes,No,"CRC, melanoma, SCC",E,NA,,"Mis, N, D"
DCTN1,dynactin 1,1,yes,No,"inflammatory myofibroblastic tumour, Spitzoid tumour",M,Dom,fusion,Translocation
DDB2,damage-specific DNA binding protein 2,1,No,yes,,E,Rec,"oncogene, TSG","Mis, N"
DDIT3,DNA-damage-inducible transcript 3,1,yes,No,liposarcoma,M,Dom,"oncogene, fusion",Translocation
DDR2,discoidin domain receptor 2,1,yes,No,"squamous cell carcinoma, NSCLC",E,Dom,oncogene,"Mis, N"
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1,yes,No,AML*,L,Dom,"TSG, fusion",Translocation
DDX3X,"DEAD-box helicase 3, X-linked",1,yes,No,"CLL, medulloblastoma","L, O",NA,TSG,"Mis, N, F"
DDX5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,1,yes,No,prostate,E,Dom,"oncogene, fusion",Translocation
DDX6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,1,yes,No,B-NHL,L,Dom,"oncogene, fusion",Translocation
DEK,DEK oncogene (DNA binding),1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
DGCR8,"DGCR8, microprocessor complex subunit",2,yes,No,Wilms tumour,O,NA,oncogene,Mis
DICER1,"dicer 1, ribonuclease type III",1,yes,yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types","E, M, O",Rec,TSG,"Mis, F, N"
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,1,yes,No,fibrolamellar hepatocellular carcinoma,E,Dom,fusion,Translocation
DNM2,dynamin 2,1,yes,No,T-ALL,L,Rec,TSG,"F, N, S, Mis, O"
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1,yes,No,AML,L,Dom,TSG,"Mis, F, N, S"
DROSHA,drosha ribonuclease III,1,yes,No,"Wilms tumour, NSCLC, bladder carcinoma","E, O",NA,TSG,"A, Mis, N, F"
DUX4L1,double homeobox 4 like 1,2,yes,No,soft tissue sarcoma,M,Dom,fusion,Translocation
EBF1,early B-cell factor 1,1,yes,No,lipoma,M,Dom,"TSG, fusion",Translocation
ECT2L,epithelial cell transforming sequence 2 oncogene-like,2,yes,No,ETP ALL,L,Rec,,"N, S, Mis"
EED,embryonic ectoderm development,2,yes,No,"malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma","E, L",NA,TSG,"Mis, F"
EGFR,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",1,yes,yes,"glioma, NSCLC","E, O",Dom,oncogene,"A, O, Mis"
EIF1AX,"eukaryotic translation initiation factor 1A, X-linked",2,yes,No,"uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer",E,NA,,"Mis, S"
EIF3E,"eukaryotic translation initiation factor 3, subunit E",1,yes,No,colorectal,E,Dom,"TSG, fusion",Translocation
EIF4A2,"eukaryotic translation initiation factor 4A, isoform 2",1,yes,No,NHL,L,Dom,fusion,Translocation
ELF3,E74 like ETS transcription factor 3,2,yes,No,pancreatic cancer,E,NA,TSG,"Mis, N, F"
ELF4,E74-like factor 4 (ets domain transcription factor),1,yes,No,AML,L,Dom,"oncogene, TSG, fusion",Translocation
ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",1,yes,No,prostate,E,Dom,"oncogene, fusion",Translocation
ELL,ELL gene (11-19 lysine-rich leukemia gene),1,yes,No,AL,L,Dom,"TSG, fusion",Translocation
ELN,elastin,2,yes,No,B-ALL,L,Dom,fusion,Translocation
EML4,echinoderm microtubule associated protein like 4,1,yes,No,NSCLC,E,Dom,fusion,Translocation
EP300,300 kd E1A-Binding protein gene,1,yes,No,"colorectal, breast, pancreatic, AML, ALL, DLBCL","L, E",Rec,"TSG, fusion","Translocation,  N, F, Mis, O"
EPAS1,endothelial PAS domain protein 1,1,yes,No,"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas","E, M",Dom,"oncogene, TSG",Mis
EPHA3,EPH receptor A3,2,yes,No,"lung cancer, CRC, melanoma",E,NA,,Mis
EPHA7,EPH receptor A7,2,yes,No,"CRC, melanoma",E,NA,,Mis
EPS15,epidermal growth factor receptor pathway substrate 15 (AF1p),1,yes,No,ALL,L,Dom,"TSG, fusion",Translocation
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",1,yes,No,"breast, ovarian, other tumour types, NSCLC, gastric",E,Dom,"oncogene, fusion","A, Mis, O"
ERBB3,erb-b2 receptor tyrosine kinase 3,1,yes,No,"colon, gastric, head and neck, bladder, skin",E,Dom,oncogene,"Mis, N"
ERBB4,erb-b2 receptor tyrosine kinase 4,1,yes,yes,"melanoma, gastric, NSCLC",E,Dom,"oncogene, TSG","Mis, N"
ERC1,ELKS/RAB6-interacting/CAST family member 1,1,yes,No,"papillary thyroid, Spitzoid tumour",E,Dom,fusion,Translocation
ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",1,No,yes,,E,Rec,TSG,"Mis, N, F, S"
ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",1,No,yes,,E,Rec,TSG,"Mis, S"
ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",1,No,yes,,E,Rec,TSG,"Mis, N, F"
ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",1,No,yes,,E,Rec,TSG,"Mis, N, F"
ERG,v-ets erythroblastosis virus E26 oncogene like (avian),1,yes,No,"Ewing sarcoma, prostate, AML","M, E, L",Dom,"oncogene, fusion","Translocation, A"
ESR1,estrogen receptor 1,1,yes,No,breast,E,Dom,"oncogene, TSG, fusion",Mis
ETNK1,ethanolamine kinase 1,1,yes,No,"aCML, CMML, SM-AHD, HES",L,Dom,TSG,Mis
ETV1,ets variant gene 1,1,yes,No,"Ewing sarcoma, prostate","M, E",Dom,"oncogene, fusion",Translocation
ETV4,"ets variant gene 4 (E1A enhancer binding protein, E1AF)",1,yes,No,"Ewing sarcoma, prostate carcinoma","M, E",Dom,"oncogene, fusion",Translocation
ETV5,ets variant gene 5,1,yes,No,prostate,E,Dom,"oncogene, fusion",Translocation
ETV6,ets variant gene 6 (TEL oncogene),1,yes,No,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS","L, E, M",Dom,"TSG, fusion",Translocation
